,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,Birth_Year
0,0,3,male,22.0,1,0,S,1890.0
1,1,1,female,38.0,1,0,C,1874.0
2,1,3,female,26.0,0,0,S,1886.0
3,1,1,female,35.0,1,0,S,1877.0
4,0,3,male,35.0,0,0,S,1877.0
5,0,3,male,,0,0,Q,
6,0,1,male,54.0,0,0,S,1858.0
7,0,3,male,2.0,3,1,S,1910.0
8,1,3,female,27.0,0,2,S,1885.0
9,1,2,female,14.0,1,0,C,1898.0
10,1,3,female,4.0,1,1,S,1908.0
11,1,1,female,58.0,0,0,S,1854.0
12,0,3,male,20.0,0,0,S,1892.0
13,0,3,male,39.0,1,5,S,1873.0
14,0,3,female,14.0,0,0,S,1898.0
15,1,2,female,55.0,0,0,S,1857.0
16,0,3,male,2.0,4,1,Q,1910.0
17,1,2,male,,0,0,S,
18,0,3,female,31.0,1,0,S,1881.0
19,1,3,female,,0,0,C,
20,0,2,male,35.0,0,0,S,1877.0
21,1,2,male,34.0,0,0,S,1878.0
22,1,3,female,15.0,0,0,Q,1897.0
23,1,1,male,28.0,0,0,S,1884.0
24,0,3,female,8.0,3,1,S,1904.0
25,1,3,female,38.0,1,5,S,1874.0
26,0,3,male,,0,0,C,
27,0,1,male,19.0,3,2,S,1893.0
28,1,3,female,,0,0,Q,
29,0,3,male,,0,0,S,
30,0,1,male,40.0,0,0,C,1872.0
31,1,1,female,,1,0,C,
32,1,3,female,,0,0,Q,
33,0,2,male,66.0,0,0,S,1846.0
34,0,1,male,28.0,1,0,C,1884.0
35,0,1,male,42.0,1,0,S,1870.0
36,1,3,male,,0,0,C,
37,0,3,male,21.0,0,0,S,1891.0
38,0,3,female,18.0,2,0,S,1894.0
39,1,3,female,14.0,1,0,C,1898.0
40,0,3,female,40.0,1,0,S,1872.0
41,0,2,female,27.0,1,0,S,1885.0
42,0,3,male,,0,0,C,
43,1,2,female,3.0,1,2,C,1909.0
44,1,3,female,19.0,0,0,Q,1893.0
45,0,3,male,,0,0,S,
46,0,3,male,,1,0,Q,
47,1,3,female,,0,0,Q,
48,0,3,male,,2,0,C,
49,0,3,female,18.0,1,0,S,1894.0
50,0,3,male,7.0,4,1,S,1905.0
51,0,3,male,21.0,0,0,S,1891.0
52,1,1,female,49.0,1,0,C,1863.0
53,1,2,female,29.0,1,0,S,1883.0
54,0,1,male,65.0,0,1,C,1847.0
55,1,1,male,,0,0,S,
56,1,2,female,21.0,0,0,S,1891.0
57,0,3,male,28.5,0,0,C,1883.5
58,1,2,female,5.0,1,2,S,1907.0
59,0,3,male,11.0,5,2,S,1901.0
60,0,3,male,22.0,0,0,C,1890.0
61,1,1,female,38.0,0,0,,1874.0
62,0,1,male,45.0,1,0,S,1867.0
63,0,3,male,4.0,3,2,S,1908.0
64,0,1,male,,0,0,C,
65,1,3,male,,1,1,C,
66,1,2,female,29.0,0,0,S,1883.0
67,0,3,male,19.0,0,0,S,1893.0
68,1,3,female,17.0,4,2,S,1895.0
69,0,3,male,26.0,2,0,S,1886.0
70,0,2,male,32.0,0,0,S,1880.0
71,0,3,female,16.0,5,2,S,1896.0
72,0,2,male,21.0,0,0,S,1891.0
73,0,3,male,26.0,1,0,C,1886.0
74,1,3,male,32.0,0,0,S,1880.0
75,0,3,male,25.0,0,0,S,1887.0
76,0,3,male,,0,0,S,
77,0,3,male,,0,0,S,
78,1,2,male,0.83,0,2,S,1911.17
79,1,3,female,30.0,0,0,S,1882.0
80,0,3,male,22.0,0,0,S,1890.0
81,1,3,male,29.0,0,0,S,1883.0
82,1,3,female,,0,0,Q,
83,0,1,male,28.0,0,0,S,1884.0
84,1,2,female,17.0,0,0,S,1895.0
85,1,3,female,33.0,3,0,S,1879.0
86,0,3,male,16.0,1,3,S,1896.0
87,0,3,male,,0,0,S,
88,1,1,female,23.0,3,2,S,1889.0
89,0,3,male,24.0,0,0,S,1888.0
90,0,3,male,29.0,0,0,S,1883.0
91,0,3,male,20.0,0,0,S,1892.0
92,0,1,male,46.0,1,0,S,1866.0
93,0,3,male,26.0,1,2,S,1886.0
94,0,3,male,59.0,0,0,S,1853.0
95,0,3,male,,0,0,S,
96,0,1,male,71.0,0,0,C,1841.0
97,1,1,male,23.0,0,1,C,1889.0
98,1,2,female,34.0,0,1,S,1878.0
99,0,2,male,34.0,1,0,S,1878.0
100,0,3,female,28.0,0,0,S,1884.0
101,0,3,male,,0,0,S,
102,0,1,male,21.0,0,1,S,1891.0
103,0,3,male,33.0,0,0,S,1879.0
104,0,3,male,37.0,2,0,S,1875.0
105,0,3,male,28.0,0,0,S,1884.0
106,1,3,female,21.0,0,0,S,1891.0
107,1,3,male,,0,0,S,
108,0,3,male,38.0,0,0,S,1874.0
109,1,3,female,,1,0,Q,
110,0,1,male,47.0,0,0,S,1865.0
111,0,3,female,14.5,1,0,C,1897.5
112,0,3,male,22.0,0,0,S,1890.0
113,0,3,female,20.0,1,0,S,1892.0
114,0,3,female,17.0,0,0,C,1895.0
115,0,3,male,21.0,0,0,S,1891.0
116,0,3,male,70.5,0,0,Q,1841.5
117,0,2,male,29.0,1,0,S,1883.0
118,0,1,male,24.0,0,1,C,1888.0
119,0,3,female,2.0,4,2,S,1910.0
120,0,2,male,21.0,2,0,S,1891.0
121,0,3,male,,0,0,S,
122,0,2,male,32.5,1,0,C,1879.5
123,1,2,female,32.5,0,0,S,1879.5
124,0,1,male,54.0,0,1,S,1858.0
125,1,3,male,12.0,1,0,C,1900.0
126,0,3,male,,0,0,Q,
127,1,3,male,24.0,0,0,S,1888.0
128,1,3,female,,1,1,C,
129,0,3,male,45.0,0,0,S,1867.0
130,0,3,male,33.0,0,0,C,1879.0
131,0,3,male,20.0,0,0,S,1892.0
132,0,3,female,47.0,1,0,S,1865.0
133,1,2,female,29.0,1,0,S,1883.0
134,0,2,male,25.0,0,0,S,1887.0
135,0,2,male,23.0,0,0,C,1889.0
136,1,1,female,19.0,0,2,S,1893.0
137,0,1,male,37.0,1,0,S,1875.0
